     1219 8411630 6101South Afr545442554424444124545443224244244442444144454424544444424454255442225225554234344245215444245442445244544423445244424154
     222224451630 6101USA      544255545444554355141534432543445245445542455254221554534445254254445444252444522354442554344354555244455444251433442343
     4222 3571630 6101USA      455442434442550244444433424444444442455412555443502422445455235442435432544242553142434444345543445422555233552324424254
     522244 41730 6101USA      351134542241542105413513123552054541552234551334511534134354453432223144321525411554134405324321534134253123221555415353
     611314 61730 6101USA      242244543224224235141552413324245255423222222245244542525523245254442224432252241552514433445254442223134145151243524435
     721825111730 6101USA      343254443325445155244453313232242354545415354154442352424444154343445225544344454253415244344343455425445243452344524243
     822419251730 6101USA      444542344433554334543345335443243441445313444342544332444343235442355423244344534242335442234442344224554212423244315344
     922026301730 6101USA      443344452443434323244532342123442354443212444333434541434434243434355233433443544242325144534344445213544312344343323243
    1021818361730 6101USA      524243145523444424543235424145523244135214544322432313554153443432355424445454534143324141424244135214455222244125224245
    1122850461730 6101USA      454453213524545233553242324145451254434525554222443252454155453343333424555221553152325115540453335524555124552252223245
    1215027481730 6101USA      244451345414345144541443413455152441345514445244542452414455153441425514555145552152514455153542445514355234552155514255
    1312848501730 6101Finland  124353144415254442551142412435122241245434225322553142433235141241225314435242553152425545132341135425435442551155415335
    1411954 71830 6101USA      245323115234432324144414215312235253215213243432233512444522251254313243211533212413324312323242215210331324423413214233
    15225 0111830 6101USA      543353445523244253452543433344341453445524455053542413434405253441445524455253542122414354341452555023555223552125333245
    1621919201830 6101USA      555151455453555335251455424355355242555552555533341155415155555151545552555135552255525355255142545552555113551155522355
    1715417211830 6101USA      244442334423234234444424323132344432334222344242423323324442255432415423344332432213345132244432444432330323444323324233
    1811958341830 6101USA      224442343234344424442442323543343452343214444334542452423445253441454134453444452352324552234542443214454234342452414344
    19131 7351830 6101Mexico   444441335434455332443433224344342441345434444332503442434254332241335534453244054132425355252441335122555244544145324055
    2012928361830 6101Australia515224115454554434555542232341515524245454245551152524222221415535115254552212225514151321515125115553144444225514222111
    21214 3411830 6101Canada   445455343543445542351455543143324455135543454521251325524145335444324534455531353145425433345445145443455532254135435133
    2211925421830 6101USA      434133343244443434444433334442434144342234443143245453344432434144343244332243355344332542324245342245443323255453322422
    2323436421830 6101USA      552224235542522255451545424342245224245524552451442435402151454144445522253454542245424344452224425544554443414235442154
    2411451531830 6101USA      443345435253544323531324333343452324335323444321222254322353335433245353545523432244243353545434333232534423323355332244
    2512742 11930 6101Mexico   355555253555554245342551514335255555355535455425352541425455135244255504553135552151515554155543155325545533354155525135
    26214 2 31930 6101USA      434235334113543425333544212431323345245214444443334533343432344245235244552215434552220141425235225113443425244545223231
    2722446 31930 6101UK       515254153241324521544252353535514254154321343511442152421555515234153143535521422152144545115254154221543512143154215435
    2821536161930 6101USA      454442534224544255242555444442254442545313344253432544425442244242444413452254553444324554434341544314455434442545435243
    2911317201930 6101Canada   524445153225444542544252254542515445115124454530532115151145515551145155535511542115253352544532155145555515244155152221
    3011752211930 6101USA      153342344223222123323322322323353343452214443233404352323444154352443323442233214342434344244342414213244214423142324344
    3121648221930 6101USA      545434234433443323234434243341525432343243454443232444435342445433453243344433222244343342444443444242442313443444344342
    3223951241930 6101USA      335543255242555124334354233352334443455212455424434352233152334433235242552323534253344352335542255224555524544155334454
    3321414251930 6101USA      445234545134423434435515234152434344453254343243223444435443454234524143534424214445243542523424434243544514242545241231
    3412358331930 6101USA      543423134353553323255453155542402324145234443432245354240142435444145242442444433144333521215242145213422424535355214343
    3623633451930 6101USA      444444455335544234434555424353343344445224444334333342424153343443355224554234533243325343334443355224554323543455324253
    37227 9461930 6101Ukraine  543434143444444332431543343333234244153252443432240444443442444434444344544522433225245343441444143442444443243243444223
    38224 5531930 6101USA      535353445444545353253532532513433353455534555452551443542353324332215334552351551133523553533353253324555434352335343143
    39125 7 22030 6101USA      245541253332344535533353124552215332155213443332532452244552425331153224452533544342425542225341155223444415543355224453
    4012027 82030 6101Canada   444442455255534344355551543553455454552245544442353551434352445441255255553244222552214244124342443525544224352554324455
    4124046122030 6101USA      534444245544054344344444344342335445355544444233245354444252334444455544543443354333433342424444244423434443354444443132
    4221544152030 6101Canada   435554255224345442541325245554221542455444455441421454545155244522445124455444441144425554442542455444555524441155445255
    4312249262030 6101USA      444253244454345442554412421235232443145134554532444232423544244243324244453411252254233244115254215432255514454145523124
    4421948272030 6101USA      535443255542545443343435342444224444245432444442343434444344335434455532554442203234242434424244255542555524452245242444
    4511528332030 6101USA      255151132315145355151451515415535451155115225353532451555515155251442215124355451251535425115151215215125213251452315115
    4612032392030 6101USA      235352342333244443223441232434325353343323444423434431433443124352223233321443333441433522225352223323334424154452434334
